KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Russian,Japanese,Chinese (simplified),Chinese (traditional)
acttitlePlMon,Plant Monster,,Monstre plante,,,,Planta Monstro,Цветочный монстр,食虫植物,植物怪笑,
actdescPlMon,PlantMonsters can be found in the Open Plains and near Water at night. Be cautious - they will attack you without being provoked!,,"Les monstres plante se trouvent dans les grandes plaines et près de l'eau, la nuit. Soyez prudents - ils vous attaqueront sans être provoqués !",,,,Plantas Monstro podem ser encontradas nas Planícies Abertas durante a noite. Seja cauteloso - elas irão atacá-lo sem ser provocadas!,Цветочные монстры могут быть найдены ночью на равнинах и возле водоемов. Будьте осторожны - они атакуют даже не будучи спровоцированы!,食虫植物は、高原と夜の水辺に生息しています。慎重に行動するべきです。 - 彼らは迷うことなくあなたを襲ってくることでしょう！,你可以晚上在开阔平原和水边找到植物怪。小心 - 怪物主动攻击！,
acttitleHAins,Humanoid Alien Insect,,Insecte humanoïde Alien,,,,Inseto Alien Humanoide,Чужой-насекомое,人型をしたインセクター,昆虫成精,
actdescHAins,Humanoid Alien Insects can be found in the Tropical Forest at night. Be cautious - they will attack you without being provoked!,,"Les insectes humanoïde Alien se trouvent dans la forêt tropicale, la nuit. Soyez prudents - ils vous attaqueront sans être provoqués !",,,,Insetos Aliens Humanoides podem ser encontrados nas Florestas Tropicais á noite. Seja cauteloso - eles irão atacá-lo sem ser provocado!,Чужие-насекомые обычно встречаются по ночам в тропических лесах. Будьте осторожны - они атакуют даже не будучи спровоцированы!,人の姿をしたインセクターは熱帯雨林において夜に見つけることができます。慎重に行動するべきです。 - 彼らは迷うことなくあなたを襲ってくることでしょう！,你可以晚上在热带雨林里找到外星昆虫精。小心 - 怪物主动攻击！,
acttitleSpAkua,Spider,,Araignée,,,,Aranha,Паук,スパイダー,夜行蜘蛛,
actdescSpAkua,Spiders can be found in the Tropical Forest at night. Be cautious - they will attack you without being provoked!,,"Les araignées se trouvent dans la forêt tropicale, la nuit. Soyez prudents - elles vous attaqueront sans être provoquées !",,,,Aranhas podem encontradas nas Florestas Tropicais á noite. Seja cauteloso - elas irão atacá-lo sem ser provocadas!,Пауки водятся в тропических лесах и охотятся только по ночам. Будьте осторожны - они атакуют даже не будучи спровоцированы!,熱帯雨林では夜間にクモが見られます。慎重に行動するべきです。 - 彼らは迷うことなくあなたを襲ってくることでしょう！,你可以晚上在热带雨林里找到蜘蛛。小心 - 怪物主动攻击！,
chptitleAfraidO,Not Afraid of the Dark OMICRON,,Ne pas craindre l'obscurité sur OMICRON,,,,Não tenha medo das Noites de OMICRON,Нет страху во тьме Омикрона,オミクロンの夜を恐れない,奥米克戎的深夜面不改色,
chpdescAfraidO,Are you afraid of the dark nights of Omicron? Chose your weapons and convince yourself from the contrary!,,Craignez-vous les nuits sombres d'Omicron ? Choisissez vos armes et prouvez-vous le contraire !,,,,Esta com medo das noites de Omicron? Escolha suas armas e se convença do contrário!,Боитесь темных ночей на Омикроне? Выберите оружие и поборите свой страх!,あなたはオミクロンの暗い夜を恐れていますか？あなたの武器を選び、恐怖を克服してください！,你害怕奥米克戎漆黑的深夜么？拿起你的武器，说服自己，挑战恐惧！,
tasktitleAfraidO,Omicron Night Creatures,,Créatures de la nuit sur Omicron,,,,Criaturas Noturnas de Omicron,Ночные порождения Омикрона,オミクロンの夜を恐れない！,奥米克戎的夜行生物,
acttitleSpOmic,2x Spiders,,Araignées,,,,2x Aranhas,2 паука,スパイダーｘ２,夺命双蛛,
actdescSpOmic,Spiders can be found in the Low Plains at night. Be cautious - they will attack you without being provoked!,,"Les araignées se trouvent dans les basses plaines, la nuit. Soyez prudents - elles vous attaqueront sans être provoquées !",,,,Aranhas podem ser encontradas nas Planícies Baixas á noite. Seja cauteloso - elas irão atacá-lo sem ser provocadas!,Пауки водятся в низинах и охотятся только по ночам. Будьте осторожны - они атакуют даже не будучи спровоцированы!,クモは夜に低地で見つけることができます。慎重に行動するべきです。 - 彼らは迷うことなくあなたを襲ってくることでしょう！,你可以晚上在低矮平原上找到蜘蛛。小心 - 怪物主动攻击！,
acttitleOty,Otyugh,,Otyugh,,,,Otyugh,Отук,オーティー,食腐恶兽,
actdescOty,Otyughs can be found in the Low Plains at night. Be cautious - they will attack you without being provoked!,,"Les Otyughs se trouvent dans les basses plaines, la nuit. Soyez prudents - ils vous attaqueront sans être provoqués !",,,,Otyugh podem ser encontrados nas Planícies Baixas á noite. Seja cauteloso - eles irão atacá-lo sem ser provocado!,Отуги водятся в низинах и охотятся только по ночам. Будьте осторожны - они атакуют даже не будучи спровоцированы!,夜になると、低地で醜い人が見つかることがあります。慎重に行動するべきです。 - 彼らは迷うことなくあなたを襲ってくることでしょう！,你可以晚上在低矮平原上找到食腐兽。小心 - 怪物主动攻击！,
acttitleDesGO,Desert Golem,,Golem de désert,,,,Golem do Deserto,Пустынный голем,デザート・ゴーレム,沙漠傀儡,
actdescDesGO,Desert Golems can be found in the High Plains at night. Be cautious - they will attack you without being provoked!,,"Les Golems de désert se trouvent dans les hautes plaines, la nuit. Soyez prudents - ils vous attaqueront sans être provoqués !",,,,Os Golems do Deserto podem ser encontrados nas Planicies Altas à noite. Seja cauteloso - eles irão atacá-lo sem ser provocado!,Пустынные големы водятся в высокогорьях и охотятся только по ночам. Будьте осторожны - они атакуют даже не будучи спровоцированы!,デザート・ゴーレムは、高原で見つけることができます。慎重に行動するべきです。 - 彼らは迷うことなくあなたを襲ってくることでしょう！,你可以晚上在高原地形上找到沙漠傀儡。小心 - 怪物主动攻击！,
chptitleAfraidM,Not Afraid of the Dark MASPERON,,Ne pas craindre l'obscurité sur MASPERON,,,,Não tenha medo das Noites de MASPERON,Нет страху во тьме Масперона,マスペロンの夜を恐れない！,迈斯潘的午夜临危不乱,
chpdescAfraidM,Are you afraid of the dark nights of Masperon? Chose your weapons and convince yourself from the contrary!,,Craignez-vous les nuits sombres de MASPERON ? Choisissez vos armes et prouvez-vous le contraire !,,,,Esta com medo das noites de Masperon? Escolha suas armas e se convença do contrário!,Боитесь темных ночей на Маспероне? Выберите оружие и поборите свой страх!,あなたはマスペロンの暗い夜を恐れていますか？あなたの武器を選び、恐怖を克服してください！,你害怕迈斯潘昏暗的午夜么？拿起你的武器，说服自己，挑战恐惧！,
tasktitleAfraidMa,Masperon Night Creatures,,Créatures de la nuit sur Masperon,,,,Criaturas Noturnas de Masperon,Ночные порождения Масперона,マスペロンの深夜のクリーチャー,迈斯潘的夜行生物,
acttitleSpiMasp,3x Spiders,,Araignées,,,,3x Aranhas,3 паука,スパイダーｘ３,三昧真蛛,
actdescSpiMasp,Spiders can be found in the Forest at night. Be cautious - they will attack you without being provoked!,,"Les araignées se trouvent dans la forêt, la nuit. Soyez prudents - elles vous attaqueront sans être provoquées !",,,,Aranhas podem ser encontradas nas Florestas á noite. Seja cauteloso - elas irão atacá-lo sem ser provocadas!,Пауки водятся в лесах и охотятся только по ночам. Будьте осторожны - они атакуют даже не будучи спровоцированы!,夜間には森の中にクモが見られます。慎重に行動するべきです。 - 彼らは迷うことなくあなたを襲ってくることでしょう！,你可以晚上在森林里找到蜘蛛。小心 - 怪物主动攻击！,
acttitleOverS,2x Overseers,,Sentinelles,,,,2x Observadores,2 надзирателя,2倍のオーバーシーズ,异虫监工,
actdescOverS,Overseers can be found in the Savanna at night. Be cautious - they will attack you without being provoked!,,"Les sentinelles se trouvent dans la savanne, la nuit. Soyez prudents - elles vous attaqueront sans être provoquées !",,,,Observadores podem ser encontrados nas Savanas á noite. Seja cauteloso - eles irão atacá-lo sem ser provocados!,Надзиратели водятся в саванне и охотятся только по ночам. Будьте осторожны - они атакуют даже не будучи спровоцированы!,監督は夜にサバンナで見つけることができます。慎重に行動するべきです。 - 彼らは迷うことなくあなたを襲ってくることでしょう！,你可以晚上在草原上找到异虫监工。小心 - 怪物主动攻击！,
chptitleCustT,Custom Tours,,Visites personnalisées,,,,Tour Personalizado,Особый маршрут,カスタムツアー,定制旅行,
chpdescCustT,"Pack your backpack! Find all those Points of Interest on various planets!\n\nNote: To complete this Mission, you need to go closer than 100m.",,"Préparez votre sac à dos ! Trouver les POIs sur les différentes planètes !\n[u]note :[/u] Pour réussir cette Mission, vous devez approcher chaque POI à moins de 100m.",,,,"Pegue sua mochila! Encontre todos esses pontos de interesse em vários planetas!\n\nNota: Para completar esta Missão, você precisa ir perto aproximadamente 100m deles.","Пакуйте свой рюкзак! Найдите все указанные ТИ на различных планетах!\n\nЗаметка: Чтобы выполнить эту миссию, вы должны приблизиться к ТИ как минимум на 100 м",あなたのバックパックをパック！ \n \n注:このミッションを完了させるには、100m以上に近づく必要があります。,打好你的行李！找到不同星球上的下列信息点建筑！\n\n注意：要完成此任务，你不能步行超过100米。,
tasktitleFiSpPoi,Find Special POIs,,Trouver des POIs particuliers,,,,Encontre POIs Especiais,Найти особые ТИ,特別なPOIを見つける,找到特殊的信息点建筑,
acttitleAbandM,Abandoned Mine (Akua),,Mine Abandonnée (Akua),,,,Mina abandonada (Akua),Заброшенная шахта (Акуа),放棄された鉱山,废弃矿井（阿库瓦）,
actdescAbandM,Find the Abandoned Mine on Akua.,,Trouver une Mine abandonnée sur Akua.,,,,Encontre a Mina Abandonada em Akua.,Найдите заброшенную шахту на Акуа.,アクアで放棄された鉱山を見つけてください。,在阿库瓦星球上找到废弃矿井。,
acttitle3PoT,Titan Wreck (Akua),,Épave de Titan (Akua),,,,Pedaços do Titan (Akua),Обломки Титана (Акуа),タイタン残骸,泰坦沉船（阿库瓦）,
actdesc3PoT,Find one part of the Titan Wreck on Akua,,Trouver une partie de l'épave du Titan sur Akua,,,,Encontre uma parte do Titan em Akua.,Найдите один из обломков 'Титана' на Акуа,惑星アクアにてタイタンの残骸を探す。,在阿库瓦星球上找到泰坦沉船的某一部分。,
acttitleAbandF,Abandoned Factory (Omicron),,Usine désaffectée (Omicron),,,,Fábrica Abandonada (Omicron),Заброшенная фабрика (Омикрон),放棄された工場,废弃工厂（奥米克戎）,
actdescAbandF,Find the Abandoned Factory on Omicron.,,Trouver l'usine désaffectée sur Omicron.,,,,Encontre a Fábrica Abandonada em Omicron.,Найдите заброшенную фабрику на Омикроне.,オミクロンで放棄された工場を見つける。,在奥米克戎星球上找到废弃工厂。,
acttitleArtifO,Artifacts (Omicron),,Artefacts (Omicron),,,,Artefatos (Omicron),Артефакты (Омикрон),アーティファクト,外星古物（奥米克戎）,
actdescArtifO,Find the Unknown Artifact or the Unknown Structure Building on Omicron.,,Trouvez l'artefact inconnu ou le batiment inconnu sur Omicron.,,,,Encontre os Artefatos Desconhecidos ou as Estruturas Desconhecidas construídas em Omicron.,Найдите неизвестный артефакт или непонятную постройку на Омикроне.,惑星オミクロンにて未知のアーティファクトまたは未知の建造物を見つける。,在奥米克戎星球上找到外星古物。,
acttitleCrShMoon,Crashed Ship (Moon),,Vaisseau crashé (lunes),,,,Destroços de Nave (Lua),Разбившийся корабль (Луна),墜落した船,坠毁飞船（月球）,
actdescCrShMoon,Find the Crashed Ship on Akua Moon or Omicron Moon.,,Trouver le vaisseau crashé sur la lune d'Akua ou celle d'Omicron.,,,,Encontre os Destroços de Nave na Lua de Akua ou na Lua de Omicron.,Найдите разбившийся корабль на луне Акуа или Омикрона.,アクア・ムーンまたはオミクロンのムーンで壊れた船を見つける。,在阿库瓦或奥米克戎的月球上找到坠毁飞船。,
acttitleTitanA,Crashed Titan (Aestus),,Titan crashé (Aestus),,,,Destroços do Titan (Aestus),Разбившийся Титан (Аэстус),墜落したタイタン,坠毁泰坦（埃斯特）,
actdescTitanA,Find the Crashed Titan on Aestus.,,Trouver le vaisseau Titan crashé sur Aestus.,,,,Encontre o pedaço da Titan em Aestus.,Найдите разбившийся Титан на Аэстусе.,惑星アエスタスでタイタンの残骸を見つけてください。,在埃斯特星球上找到坠毁泰坦。,
acttitleMiningC,Mining Complex (Skillon),,Complexe minier (Skillon),,,,Complexo de Mineração (Skillon),Добывающий комплекс (Скиллон),鉱山コンプレックス,矿区（斯盖伦）,
actdescMiningC,Find the Mining Complex on Skillon.,,Trouver le complexe minier sur Skillon.,,,,Encontre o Complexo de Mineração em Skillon.,Найдите добывающий комплекс на Скиллоне.,スキンオンの鉱山複合施設を探す。,在斯盖伦星球上找到矿区。,
chptitleDroneH,Drone Hunter,,Chasseur de drones,,,,Caçador de Drones,Охотник на дронов,ドローンハンター,无人机猎手,
chpdescDroneH,Take on those pesky drones. Search and Destroy one of each kind!,,Prenez en chasse ces satanés drones. Recherchez et détruisez-en un de chaque sorte !,,,,Acabe com esses drones irritantes. Procure e destrua cada um deles!,Возьмемся за этих надоедливых дронов. Найдите и уничтожьте по одному каждого типа!,厄介なドローン始末をしてください。各種類1機を探し破壊する！,留意下列烦人的无人机，找到并摧毁每种至少一架。,
tasktitleDroneHunt,Destroy Alien Drones,,Détruire les Drones Alien,,,,Destrua Drones Aliens,Уничтожьте дронов чужих,エイリアンドローンを破壊,摧毁外星无人机,
acttitleRocketD,Rocket Drone,,Drone lance-roquettes,,,,Drone de Foguetes,Ракетный дрон,ロケットドローン,火箭无人机,
actdescRocketD,Destroy a Rocket Drone,,Détruisez un drone lance-roquettes,,,,Destrua um Drone de Foguetes,Уничтожьте ракетного дрона,ロケットドローンを破壊,摧毁一架火箭无人机,
acttitleMinigunD,Minigun Drone,,Drone mitrailleuse,,,,Drone de Minigun,Дрон с пулеметом,ミニガンドローン,机炮无人机,
actdescMinigunD,Destroy a Minigun Drone,,Détruisez un drone mitrailleuse,,,,Destrua um Drone de Minigun,Уничтожьте дрона с пулеметом,ミニガンドローンを破壊,摧毁一架机炮无人机,
acttitleCannonD,Cannon Drone,,Drone canon,,,,Drone de Canhões,Дрон с пушкой,キャノンドローン,加农炮无人机,
actdescCannonD,Destroy a Cannon Drone,,Détruisez un drone canon,,,,Destrua um Drone de Canhões,Уничтожьте дрона с пушкой,キャノンドローンを破壊,摧毁一架加农炮无人机,
acttitlePlasmaD,Plasma Drone,,Drone plasma,,,,Drone de Plasma,Дрон с плазменной пушкой,プラズマドローン,离子炮无人机,
actdescPlasmaD,Destroy a Plasma Drone,,Détruisez un drone plasma,,,,Destrua um Drone de Plasma,Уничтожьте дрона с плазменной пушкой,プラズマドローンを破壊,摧毁一架离子炮无人机,
acttitleSpaceD,Space Drone,,Drone spatial,,,,Drone Espacial,Космический дрон,スペースドローン,太空无人机,
actdescSpaceD,Destory a Space Laser or Space Plasma Drone,,Détruisez un drone spatial laser ou plasma,,,,Destrua um Drone Espacial de Laser ou de Plasma,Уничтожьте космического дрона с плазмой или лазером,宇宙でレーザー・タレット、またはプラズマドローンを破壊,摧毁一架太空激光无人机或太空离子炮无人机,
chptitleEpicness,Pure Epicness,,Armes épiques,,,,Muito Épico,Чистая эпичность,ピュア・エピック,不朽史诗,
chpdescEpicness,There are seven Epic Weapons you can find. Complete this Mission by finding and equipping one of them! Your Reward? Depends on what you will find!,,Il y a 7 armes épiques que vous pouvez trouver. Remplir cette Mission en trouvant une d'elle et en vous en équipant ! Votre récompense ? Dépendra de ce que vous trouverez !,,,,Existem sete armas épicas que você pode encontrar. Complete esta Missão encontrando e equipando uma delas! Sua recompensa? Depende do que você vai encontrar!,"Всего можно найти семь видов эпического оружия. Выполните эту миссию, отыскав и экипировав одно из них! Ваша награда? Зависит от того, что вы найдете!",あなたが見つけることができる7つのエピック武器があります。その1つを見つけて装備して、ミッションを完了させてください！あなたの報酬は？あなたが見つけるものに依存します！,有七种史诗武器你能找到，它们是长生剑、孔雀翎、碧玉刀...哦，串了。找到并装备上其中一种就算完成此项任务！什么？任务奖励？这武器就是啦（斜眼笑）！,
chptitleDangerS,Dangerous Space,,Espace dangereux,,,,Espaço Perigoso,Опасный космос,危険な空間,诡谲太空,
chpdescDangerS,"Take your ship to the stars - and make a stop at some very interesting locations. Visit some Trading Stations - but be cautious, you might need to traverse hostile space.\n\nNote: For completing this mission, you need to do a flyby closer than 100m.",,"Prenez votre vaisseau et cap vers les étoiles - faites un arrêt à certains endroits très intéressants. Visitez certaines stations de commerce - mais soyez prudent, vous devrez traverser l'espace hostile.\n[u]nnote :[/u] Pour remplir cette mission, vous de",,,,"Leve sua nave ás estrelas - e faça uma parada em locais muito interessantes. Visite algumas estações de comércio - mas seja cauteloso, talvez seja necessário percorrer o espaço hostil.\n\nNota: Para completar esta missão, você precisa fazer um voo perto d","Направьте ваш корабль к звездам - и сделайте остановку у кое-каких интересных местечек. Посетите все космические станции - но будьте осторожны, их владельцы могут оказаться недружелюбными.\n\nЗаметка: Для выполнения миссии вам необходимо подлететь к станц",宇宙船を使い - いくつかの興味深い場所やトレードステーションを訪れてください。しかし慎重に！敵対的なエリアを通過する必要があるかもしれません。\n \n注:このミッションを完了するためには、100m以上飛行する必要があります。,驾驶你的飞船遨游太空吧 - 去逛逛有趣的场所，比如交易中心什么的 - 但是要小心，你也许会进入诡秘和充满危险的空间。\n\n注意：要完成此任务，你不能靠个人空间飞行超过100米。,
tasktitleDangerSp,Visit Orbital Trading Stations,,Visitez les stations de commerce orbitales,,,,Visite as Estações Orbitais de Comércio,Посетите орбитальные станции,軌道上のトレードステーション,访问轨道交易中心,
acttitleOmicronOrbit,Omicron Trading Station,,Station de commerce Omicron,,,,Estação de Comércio de Omicron,Торговая Станция Омикрон,オミクロントレーディングステーション,奥米克戎交易中心,
actdescOmicronOrbit,Enter or do a very close flyby ( closer than 100m ) of the Trading Station in Omicron Orbit.,,Entrez ou faites un survol très proche (moins de 100m) de la Station de commerce orbitale d'Omicron.,,,,Entre ou faça um voo bem próximo (perto de 100m) da Estação de Comércio na Orbita de Omicron.,Войдтите в Торговую станцию на орбите Омикрона или пролетите вблизи (ближе 100 м).,惑星オミクロン軌道上のトレーディングステーション付近100m以内を飛行してください。,进入或个人空间飞行（不要超过100米）靠近在奥米克戎轨道运行的交易中心。,
acttitleAkuaOrbit,Akua Trading Station,,Station de commerce Akua,,,,Estação de Comércio de Akua,Торговая Станция Акуа,アクアトレーディングステーション,阿库瓦交易中心,
actdescAkuaOrbit,Enter or do a very close flyby ( closer than 100m ) of the Trading Station in Akua Orbit.,,Entrez ou faites un survol très proche (moins de 100m) de la Station de commerce orbitale d'Akua.,,,,Entre ou faça um voo bem próximo (perto de 100m) da Estação de Comércio na Orbita de Akua.,Войдтите в Торговую станцию на орбите Акуа или пролетите вблизи (ближе 100 м).,惑星アクア軌道上のトレーディング・ステーション付近100m以内を飛行してください。,进入或个人空间飞行（不要超过100米）靠近在阿库瓦轨道运行的交易中心。,
acttitleNinguesOrbit,Ningues Trading Station,,Station de commerce Ningues,,,,Estação de Comércio de Ningues,Торговая Станция Нингуес,ニングストレーディングステーション,宁格斯戎交易中心,
actdescNinguesOrbit,Enter or do a very close flyby ( closer than 100m ) of the Trading Station in Ningues Orbit.,,Entrez ou faites un survol très proche (moins de 100m) de la Station de commerce orbitale de Ningues.,,,,Entre ou faça um voo bem próximo (perto de 100m) da Estação de Comércio na Orbita de Ningues.,Войдтите в Торговую станцию на орбите Нингуес или пролетите вблизи (ближе 100 м).,惑星ニングス軌道上のトレーディング・ステーション付近100m以内を飛行してください。,进入或个人空间飞行（不要超过100米）靠近在宁格斯轨道运行的交易中心。,
acttitleMasperonOrbit,Masperon Trading Station,,Station de commerce Masperon,,,,Estação de Comércio de Masperon,Торговая Станция Масперон,マスペロン・トレーディングステーション,迈斯潘交易中心,
actdescMasperonOrbit,Enter or do a very close flyby ( closer than 100m ) of the Trading Station in Masperon Orbit.,,Entrez ou faites un survol très proche (moins de 100m) de la Station de commerce orbitale de Masperon.,,,,Entre ou faça um voo bem próximo (perto de 100m) da Estação de Comércio na Orbita de Masperon.,Войдтите в Торговую станцию на орбите Масперона или пролетите вблизи (ближе 100 м).,惑星マスペロン軌道上のトレーディング・ステーション付近100m以内を飛行してください。,进入或个人空间飞行（不要超过100米）靠近在迈斯潘轨道运行的交易中心。,
acttitleAestusOrbit,Aestus Trading Station,,Station de commerce Aestus,,,,Estação de Comércio de Aestus,Торговая Станция Аестус,エスタス・トレーディングステーション,埃斯特交易中心,
actdescAestusOrbit,Enter or do a very close flyby ( closer than 100m ) of the Trading Station in Aestus Orbit.,,Entrez ou faites un survol très proche (moins de 100m) de la Station de commerce orbitale d'Aestus.,,,,Entre ou faça um voo bem próximo (perto de 100m) da Estação de Comércio na Orbita de Aestus.,Войдтите в Торговую станцию на орбите Аестуса или пролетите вблизи (ближе 100 м).,惑星エスタス軌道上のトレーディング・ステーション付近100m以内を飛行してください。,进入或个人空间飞行（不要超过100米）靠近在埃斯特轨道运行的交易中心。,
tasktitlePEpicness,Pure Epicness,,Armes épiques,,,,Muito Épico,Чистая эпичность,貴重なエピック,不朽史诗,
acttitleFindEW,Find & Equip Epic Weapon,,Trouver et s'équiper d'une arme épique,,,,Encontre e Equipe uma arma Épica,Найдите и экипируйте эпическое оружие,貴重な武器を見つけて装備する,找到并装备一件史诗武器,
actdescFindEW,"Find an Epic Weapon in one of the larger Alien POIs. Find a purple container, pick up the Epic Weapon and equip it to your toolbelt.",,"Trouvez une arme épique dans l'un des plus gros POIs Alien. Trouvez un conteneur violet, récupérez l'arme épique et équipez-vous en (barre outils.)",,,,"Encontre uma Arma Épica nos maiores POIs Alienígenas. Encontre um recipiente roxo, pegue a Arma Épica e equipe-a á sua cinto de ferramentas.","Найдите эпическое оружие в одной из больших ТИ чужих. Отыщите фиолетовый контейнер, заберите оттуда эпическое оружие и поместите его на вашу панель инструментов.",大型のエイリアンPOIから紫色のボックスを探し、その中からエピック・ウェポンを手に入れツールスロットに装備する。,在某个大型信息点外星建筑里找到一件史诗武器。那里会有一个紫色箱子，打开箱子拿出史诗武器并装备上。,
chptitleNoMan,No Man On The Moon,,Aucun homme sur la lune,,,,Ninguém na Lua,Нет человека на луне,月のない人,无人登月,
chpdescNoMan,Already found the man on the moon? Maybe first get rid of some of the Alien structures there!,,Déjà trouvé l'homme sur la lune ? Peut-être faudrait-il se débarrasser d'abord de certaines structures Alien présentes !,,,,Já encontrou alguém na lua antes? Talvez você tenha que se livrar de algumas estruturas Alienígenas antes!,"Уже нашли человека на луне? Может, для начала следует избавиться от построек чужих там?!",もう月にの男？女？を見つけましたか？おそらく最初にそこにあるのはエイリアンの構造の一部を取り除くでしょう！,月球上有过人类么？也许，第一步，先清理一些外星建筑才能搞清楚哦！,
tasktitleGhostRid,Destroy Ghost Rider Bases,,Détruire les Bases Ghost Rider,,,,Destrua as Bases Ghost Riders,Уничтожить базы Призрачных Гонщиков,ゴーストライダーの拠点を破壊する,摧毁幽灵骑士基地,
acttitleGhstRidtwo,Destroy 1 Base,,Détruire la Base 1,,,,Destrua 1 Base,Уничтожьте 1 базу,1基破壊する,摧毁一座外星基地,
actdescGhstRidtwo,Destroy a Ghost Rider Base on either Akua Moon or Omicron Moon,,Détruisez une base Ghost Rider sur la lune d'Akua ou d'Omicron,,,,Destrua a Base Ghost Rider na Lua de Akua ou na Lua de Omicron,Уничтожьте базу Призрачных Гонщиков на луне Акуа или луне Омикрона,アクア・ムーンまたはオミクロンのムーンでゴーストライダーのベースを破壊する,在阿库瓦月球和奥米克戎月球各摧毁一座幽灵骑士基地,
chptitlePrivMatters,Private Matters,,Affaires privées,,,,Assuntos Privados,Личное дело,プライベート,私人恩怨,
chpdescPrivMatters,Aliens keep destroying your stuff? Now this is getting personal! Conquer some of their bases in return!,,Les Aliens continuent à détruire vos biens ? Maintenant ça devient personnel ! Emparez-vous de certaines de leurs bases en retour !,,,,Aliens continuam destruindo suas coisas? Agora isso está ficando pessoal! Conquiste algumas das suas bases só por vingança!,Чужие продолжают уничтожать ваши вещи? Теперь это уже личное дело! В отместку захватите парочку их баз!,エイリアンの施設を破壊し続けますか？もうすでにここはあなたのものです。拠点の征服する！,外星人是不是一直在攻击你？三十年河东，到了报仇时间了！征服他们的基地给他们点颜色看看！,
tasktitleConquerAS,Conquer Alien Bases,,Conquérir les Bases Alien,,,,Conquiste Bases Aliens,Захватите базы чужих,エイリアンベースを征服する,征服外星人基地,
acttitleEpsilonA,Epsilon Base (Akua),,Base Epsilon (Akua),,,,Base Epilson (Akua),База Эпсилон (Акуа),イプシロンベース(Akua),艾普西隆基地（阿库瓦）,
actdescEpsilonA,"Conquer an Epsilon Base on Akua by destroying the core! Notice: You must use projectile weapons to destroy the core - you cannot use explosives (e.g. rocket launcher, explosive device, etc)",,"Conquérir la Base Epsilon sur Akua en détruisant le noyau de la base et en y plaçant le votre !\nConseil : Vous devez utiliser des armes à feu pour détruire le noyau, et non des explosifs (lance-roquettes, engin explosif, etc.)",,,,Base Xenu (Omicron),"Захватите базу Эпсилон на Акуа, уничтожив её ядро и заменив его своим! Примечание: Вы должны использовать пулевое оружие для уничтожения ядра - не используйте взрывчатку (гранатомет, закладываемые заряды и т.п.)",イプシロンの拠点のコアを破壊して自分のコアを設置し征服する！注意:爆弾を使用することはできません(ロケット発射装置、爆発装置),在阿库瓦星征服一座艾普西隆基地，摧毁他们的核心换上你的！注意：你必须使用射弹武器摧毁他们的核心 - 不要用爆炸物（例如，火箭弹，炸药包等等）摧毁,
acttitleXenuO,Xenu Base (Omicron),,Base de Xenu (Omicron),,,,Conquiste uma Base Xenu em Omicron destruindo o núcleo e colocando o seu!,База Ксену (Омикрон),ジヌーベース,泽纽基地（奥米克戎）,
actdescXenuO,Conquer a Xenu Base on Omicron by destroying the core!,,Conquérir la base Xenu sur Omicron en détruisant le noyau de la base et en y plaçant le votre !,,,,"Conquiste uma Base Epsilon em Akua, destruindo o núcleo e colocando o seu próprio! Aviso: você deve usar armas de projéteis para destruir o núcleo - você não pode usar explosivos (por exemplo, lançador de foguete, dispositivo explosivo, etc.)","Захватите базу Ксену на Омикроне, уничтожив её ядро и заменив его своим!",オミクロンにおいてジヌーの拠点のコアを破壊して自分自身のものにしてください！,在奥米克戎星征服一座泽纽基地，摧毁他们的核心换上你的！,
acttitleGhostRM,GhostRider Base (Masp.),,Base Ghost Rider (Masperon).,,,,Base GhostRider (Masperon),База Призрачных Гонщиков (Масп.),ゴーストライダーベース,幽灵骑士基地（迈斯潘）,
actdescGhostRM,Conquer a Ghost Rider Base on Masperon by destroying the core!,,Conquérir la base Ghost Rider sur Masperon en détruisant le noyau de la base et en y plaçant le votre !,,,,Conquiste uma Base Ghost Rider em Masperon destruindo o núcleo e colocando o seu!,"Захватите базу Призрачных Гонщиков на Маспероне, уничтожив её ядро и заменив его своим!",マスペロンのゴーストライダー基地を征服するには、コアを破壊して自分のコアを配置します！,在迈斯潘星征服一座幽灵骑士基地，摧毁他们的核心换上你的！,
chptitleReadFirst,READ FIRST - Faction Missions,,A lire en premier - Missions de Faction,,,,LEIA PRIMEIRO - Missões de Facção,ПРОЧТИТЕ В ПЕРВУЮ ОЧЕРЕДЬ - Миссии фракции,最初にお読みください - ファクションミッション,派系任务 - 导读,
chpdescReadFirst,VERY IMPORTANT - PLEASE READ FIRST,,TRÈS IMPORTANT - LIRE EN PREMIER,,,,MUITO IMPORTANTE - LEIA PRIMEIRO,"ОЧЕНЬ ВАЖНО - ПОЖАЛУЙСТА, ПРОЧТИТЕ В ПЕРВУЮ ОЧЕРЕДЬ",非常に重要 - 最初にお読みください,非常重要 - 务必先读,
tasktitleReadFi,VERY IMPORTANT - PLEASE READ FIRST,,TRÈS IMPORTANT - LIRE EN PREMIER,,,,MUITO IMPORTANTE - LEIA PRIMEIRO,"ОЧЕНЬ ВАЖНО - ПОЖАЛУЙСТА, ПРОЧТИТЕ В ПЕРВУЮ ОЧЕРЕДЬ",非常に重要 - 最初にお読みください,非常重要 - 务必先读,
